Strain, Type, Content 
Mataro Blue, indica, THC 25% / CBD 1% 
Desert Star, hybrid, THC 15% 
Gooberry, hybrid, THC 20% 
Shark Attack, indica, THC 16% / CBD 10% 
Doctor Doctor, sativa, THC 3% / CBD 20% 
The Wills, indica, THC 35% 
Seattle Summer, sativa,  
Crockett's Haze, sativa, THC 20% 
Swiss, indica, THC 0% 
Gorilla Snacks, hybrid, THC 31% 
White Lotus, hybrid, THC 22% 
Blue Rhino, indica, THC 18% / CBD 2% 
Starfighter, indica, THC 26% 
Diesel Glue, sativa, THC 20% 
Dirty Old Bastard, indica, THC 14% 
Dirty Widow, sativa, THC 22% 
DJ Andy Williams, sativa, THC 20% 
Ed Rosenthal Super Bud, indica, THC 19% 
White Elephant, hybrid, THC 23% 
Caramelo, sativa, THC 31% 
Blue Satellite, hybrid, THC 22% 
Tiger's Milk, hybrid, THC 17% 
Blue Train, hybrid, THC 20% 
Crosswalker, indica, THC 22% 
Chocolate Thunder, sativa, THC 15% 
Alien Apparition, indica, THC 20% 
Sour Cream, sativa, THC 17% 
Lemon Wreck, sativa, THC 20% 
Kali Dog, sativa, THC 26% 
Green Magic, indica, THC 19% / CBD 1% 
Lime Tart, indica, THC 20% 
Blue Wolf, sativa, THC 0% 
Blush, hybrid, THC 0% 
Pineapple Haze, sativa, THC 22% 
Big Bull, indica, THC 20% 
Julius Caesar, hybrid, THC 20% 
Lost Sierra Night Nurse, hybrid, THC 24% / CBD 1% 
Cobbler, sativa, THC 0% 
Black D.O.G., indica, THC 0% 
Golden Panda, sativa, THC 30% 
Project Blue Book, hybrid, THC 22% 
Honey Bananas, hybrid, THC 22% 
